"Question_Number","Resolution_Date","SciCast_Brier_Score","ULinop_Brier_Score","Number_of_Users","Number_of_Forecasts","Number_of_Comments"
"10",2014-03-04 00:00:00,0.0854990573147541,2,4,4,1
"100",2014-09-29 00:00:00,0.787003550990656,2,21,73,0
"101",2014-09-29 00:00:00,0.880566083922059,2,23,82,1
"102",2014-12-31 00:00:00,0.398987524877064,2,151,364,9
"1022",2014-12-31 22:59:59,0.260717859378534,2,34,86,1
"1023",2014-12-31 23:59:59,0.403483173848394,2,17,82,4
"1025",2015-01-31 22:59:59,0.0672859267950414,2,20,49,2
"1028",2014-11-09 23:59:59,0.573300579831868,2,7,21,5
"103",2014-12-31 23:59:59,0.269958797870059,2,229,583,72
"1030",2015-01-05 22:59:59,0.471615391312707,2,30,132,2
"1038",2015-02-28 23:59:59,0.101884018436097,2,43,106,3
"104",2014-05-15 00:00:00,0.31562517113946,2,73,249,17
"1041",2014-12-31 23:59:59,0.103339853191298,2,29,113,4
"1042",2015-01-05 12:46:00,0.0618727280319569,2,14,25,1
"1058",2015-02-01 22:59:59,0.502892355551759,2,7,22,3
"106",2014-01-12 00:00:00,0.653821608284315,2,44,128,8
"1063",2014-12-26 00:00:00,0.265473569406162,2,7,11,8
"1069",2015-02-10 23:59:59,0.228745650464582,2,6,48,2
"107",2014-10-31 00:00:00,0.904792005418189,2,40,392,33
"108",2014-10-08 00:00:00,0.721518037271645,2,26,229,8
"1083",2014-12-08 18:20:00,0.0210926628816501,2,146,239,40
"1088",2015-01-09 23:59:59,0.293221648951628,2,2,3,2
"1089",2015-01-27 23:59:59,0.171302704054245,2,3,9,5
"109",2014-09-18 00:00:00,0.122077365632095,2,44,182,8
"1090",2015-02-01 22:59:59,0.401586332045233,2,3,4,1
"11",2014-06-23 00:00:00,0.107799502293689,2,43,161,2
"110",2014-09-18 00:00:00,0.682756222941667,2,32,192,2
"111",2014-09-18 00:00:00,0.343071640231388,2,34,182,4
"1114",2015-01-19 23:59:59,0.950988599643525,2,1,8,1
"112",2014-09-18 00:00:00,0.150618802230898,2,36,182,3
"113",2014-07-17 00:00:00,0.191823692683053,2,29,99,8
"1131",2015-02-06 23:59:59,0.295148196193321,2,2,5,2
"114",2014-07-17 00:00:00,0.278336622519581,2,29,115,4
"1140",2015-02-05 12:56:59,0.527001951639568,2,1,4,1
"115",2014-07-17 00:00:00,0.447050095349784,2,30,101,2
"116",2014-07-17 00:00:00,0.145143896280906,2,39,130,3
"117",2014-07-17 00:00:00,0.662600903156286,2,27,89,4
"118",2014-07-17 00:00:00,0.150660311385543,2,29,122,1
"119",2014-07-17 00:00:00,0.250439610551672,2,34,144,7
"12",2014-06-23 00:00:00,0.131808244538226,2,53,169,4
"120",2014-07-17 00:00:00,0.160830003602469,2,34,124,12
