questionId,1/7/2014,2/7/2014,3/7/2014,4/7/2014,5/7/2014,6/7/2014,7/7/2014,8/7/2014,9/7/2014,10/7/2014,11/7/2014,12/7/2014,1/7/2015,2/7/2015,3/7/2015,4/7/2015
2,NA,NA,NA,NA,0.374500027,0.331304224,0.213392333,0.436825881,0.297254158,NA,NA,NA,NA,NA,NA,2
3,NA,0.279948309,0.279948309,0.279948309,0.279948309,0.262776063,0.17035244,0.315204517,0.162732913,NA,NA,NA,NA,NA,NA,2
4,NA,0.8213541,0.8213541,0.8213541,0.8213541,0.950544575,1.394612004,1.410988018,1.583312986,NA,NA,NA,NA,NA,NA,2
5,0.009424251,0.024930668,0.031250002,0.03125,0.050899819,0.036037794,0.004361253,0.016429022,0.002337665,0.005903424,NA,NA,NA,NA,NA,2
6,NA,1.026726714,1.026726714,1.026726714,1.026726714,1.123749563,1.330760305,1.367437407,1.634697601,NA,NA,NA,NA,NA,NA,2
9,0.671468384,0.337664943,0.16829966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
10,0.1179812,0.1179812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
11,0.17181515,0.100171323,0.067745578,0.064128281,0.086702082,0.1381866,0.130486926,NA,NA,NA,NA,NA,NA,NA,NA,2
12,0.143581315,0.064683857,0.061128465,0.209369502,0.166267563,0.109115462,0.128792457,NA,NA,NA,NA,NA,NA,NA,NA,2
13,0.087534276,0.087878162,0.13137284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
14,NA,0.593043623,0.605,0.605,0.604700914,0.352264279,0.152418594,NA,NA,NA,NA,NA,NA,NA,NA,2
15,NA,0.719716689,0.72155092,0.680957416,0.719789086,0.500855816,0.247133663,NA,NA,NA,NA,NA,NA,NA,NA,2
16,0.64352096,0.668584184,0.56414576,0.895071142,1.013956247,0.223920353,0.19221597,NA,NA,NA,NA,NA,NA,NA,NA,2
17,0.057887478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
19,0.637347161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
20,0.394968481,0.230032715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
22,0.398331004,0.451949386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
37,NA,0.427000536,0.427000536,0.477308609,0.477308609,0.397664963,0.385665779,0.228237724,0.231707361,0.029671439,NA,NA,NA,NA,NA,2
38,NA,0.609295875,0.609295875,0.609295875,0.609295875,0.522639369,0.679634972,0.745782552,0.598428995,0.005814257,NA,NA,NA,NA,NA,2
39,0.692078682,0.333016868,0.417016255,0.564827323,0.568371443,0.220970818,0.118889081,NA,NA,NA,NA,NA,NA,NA,NA,2
40,0.85549152,0.479236259,0.467286582,0.46406429,0.27241731,0.227705311,0.136317678,NA,NA,NA,NA,NA,NA,NA,NA,2
41,0.160211241,0.092448282,0.081221419,0.081221419,0.081221419,0.053564538,0.024788296,NA,NA,NA,NA,NA,NA,NA,NA,2
42,0.741663841,0.422768803,0.347124291,0.275470311,0.234589255,0.173738147,0.087775917,NA,NA,NA,NA,NA,NA,NA,NA,2
43,NA,0.51215742,0.34741178,0.378129408,0.378129408,0.346011446,0.271340467,0.084256966,0.061687482,0.026595934,0.003546091,0.000562921,NA,NA,NA,2
44,NA,0.456233176,0.456233176,0.456233176,0.456233176,0.318748651,0.238547733,0.086050848,0.079287105,0.048553713,0.007811425,0.00914135,NA,NA,NA,2
45,NA,NA,0.172545384,0.172545384,0.172545384,0.145585834,0.07537992,0.01578172,0.014734311,0.010146713,0.001604867,0.000350824,NA,NA,NA,2
46,NA,1.016463125,1.016463125,1.016463125,1.016463125,0.834978684,0.141083144,0.07685669,0.066109691,0.035055071,0.005850631,0.000535901,NA,NA,NA,2
47,NA,NA,0.023344394,0.023344394,0.023344394,0.024890627,0.029366789,0.009425126,0.021148934,0.009159993,0.006885392,0.006427928,NA,NA,NA,2
