"questionId","month","brier","set","inExp","active","1stActive"
"2","2014-01-07",NA,"N","N","NA","NA"
"2","2014-02-07",NA,"N","N","NA","NA"
"2","2014-03-07",NA,"N","N","NA","NA"
"2","2014-04-07",NA,"N","N","NA","NA"
"2","2014-05-07","0.374500026625871","N","N","NA","NA"
"2","2014-06-07","0.331304224236926","N","N","NA","NA"
"2","2014-07-07","0.213392332965856","N","N","NA","NA"
"2","2014-08-07","0.436825880634946","N","N","NA","NA"
"2","2014-09-07","0.297254157500898","N","N","NA","NA"
"2","2014-10-07",NA,"N","N","NA","NA"
"2","2014-11-07",NA,"N","N","NA","NA"
"2","2014-12-07",NA,"N","N","NA","NA"
"2","2015-01-07",NA,"N","N","NA","NA"
"2","2015-02-07",NA,"N","N","NA","NA"
"2","2015-03-07",NA,"N","N","NA","NA"
"3","2014-01-07",NA,"N","N","NA","NA"
"3","2014-02-07","0.279948308697719","N","N","NA","NA"
"3","2014-03-07","0.279948308697719","N","N","NA","NA"
"3","2014-04-07","0.279948308697719","N","N","NA","NA"
"3","2014-05-07","0.279948308697719","N","N","NA","NA"
"3","2014-06-07","0.26277606283312","N","N","NA","NA"
"3","2014-07-07","0.170352439652398","N","N","NA","NA"
"3","2014-08-07","0.315204517280433","N","N","NA","NA"
"3","2014-09-07","0.162732912556768","N","N","NA","NA"
"3","2014-10-07",NA,"N","N","NA","NA"
"3","2014-11-07",NA,"N","N","NA","NA"
"3","2014-12-07",NA,"N","N","NA","NA"
"3","2015-01-07",NA,"N","N","NA","NA"
"3","2015-02-07",NA,"N","N","NA","NA"
"3","2015-03-07",NA,"N","N","NA","NA"
"4","2014-01-07",NA,"N","N","NA","NA"
"4","2014-02-07","0.821354099747645","N","N","NA","NA"
"4","2014-03-07","0.821354099747645","N","N","NA","NA"
"4","2014-04-07","0.821354099747645","N","N","NA","NA"
"4","2014-05-07","0.821354099747645","N","N","NA","NA"
"4","2014-06-07","0.950544574824037","N","N","NA","NA"
"4","2014-07-07","1.39461200390024","N","N","NA","NA"
"4","2014-08-07","1.41098801798392","N","N","NA","NA"
"4","2014-09-07","1.58331298603674","N","N","NA","NA"
"4","2014-10-07",NA,"N","N","NA","NA"
"4","2014-11-07",NA,"N","N","NA","NA"
"4","2014-12-07",NA,"N","N","NA","NA"
"4","2015-01-07",NA,"N","N","NA","NA"
"4","2015-02-07",NA,"N","N","NA","NA"
"4","2015-03-07",NA,"N","N","NA","NA"
"5","2014-01-07","0.00942425122853889","N","N","NA","NA"
"5","2014-02-07","0.0249306675868822","N","N","NA","NA"
"5","2014-03-07","0.0312500021620117","N","N","NA","NA"
