cat_id,name,question_id,name
19,Prize-Eligible Nov & Jan,44,"On November 2014, what will be the geographic region of the Top 500 winner? "
19,Prize-Eligible Nov & Jan,45,"On November 2014, what will be the cores per socket of the Top 500 winner? "
19,Prize-Eligible Nov & Jan,48,"On November 2014, what will be the Top 500 perfomance share by geographic region?"
19,Prize-Eligible Nov & Jan,76,Will there be an outbreak of Iridoviridae in the environment in SE Asia in 2014?
19,Prize-Eligible Nov & Jan,103,Will any government officially accept a digital currency for circulation in their country in 2014?
19,Prize-Eligible Nov & Jan,123,When will a method that has been demonstrated to store qubit (units of quantum information) superpositional states indefinitely at room temperature with less than 50 percent data loss be published in a peer-reviewed journal?
19,Prize-Eligible Nov & Jan,128,Will the Axion Dark Matter Experiment detect dark matter axions by the end of 2014?
19,Prize-Eligible Nov & Jan,129,"Will the confirmed conversion efficiency for a multijunction, or tandem, solar cell (with any number of junctions) reach or exceed 46% by the end of 2014?"
19,Prize-Eligible Nov & Jan,138,"Which organization(s) will first exceed a confirmed conversion efficiency of 46% for multijunction, or tandem, solar cells?"
19,Prize-Eligible Nov & Jan,140,Who will win the DARPA Robotics Challenge Finals in 2014 (now 2015)?
19,Prize-Eligible Nov & Jan,144,Will a paper describing Andrea Rossi’s alleged Low Energy Nuclear Reaction device (aka cold fusion) be published in a journal indexed on Thomson Rueters' Web of Science before JAN 1 2015?
19,Prize-Eligible Nov & Jan,154,"In the US patent system, will at least 2.5% of pharma/biotech patents issued in 2014 refer to the term nano* in their title or abstract?"
19,Prize-Eligible Nov & Jan,158,When will a group announce a second observation of an exomoon?
19,Prize-Eligible Nov & Jan,173,Will China have at least 30 nuclear power reactors in operation by the start of 2015?
19,Prize-Eligible Nov & Jan,175,"On NOV 2014, what will be the (performance-weighted) gigaflops per watt of the Top 500?"
19,Prize-Eligible Nov & Jan,179,Will CERN's AD be able to detect any evidence that would violate the charge-parity-time (CPT) symmetry in its BASE experiment in 2014?
19,Prize-Eligible Nov & Jan,184,How many teams will be awarded a full prize in the final round of the Qualcomm Tricorder X Prize competition?
19,Prize-Eligible Nov & Jan,191,"In 2014, will the number of US patents issued with nanoelectromechanical or NEMS in their title/abstract be greater than 10% of the number of US patents issued with microelectromechanical or MEMS in their title/abstract?"
19,Prize-Eligible Nov & Jan,193,Will the ratio of Applications to Commentaries published by the International Council on Nanotechnology (ICON) Virtual Journal in 2014 exceed a ratio of 5:1?
19,Prize-Eligible Nov & Jan,195,"Will the number of nanotechnology-based products in the Consumer Products Inventory maintained by the Project on Emerging Nanotechnologies reach 2,000 by the end of 2014?"
19,Prize-Eligible Nov & Jan,197,What will be the length of the longest single-walled carbon nanotube reported in 2014?
19,Prize-Eligible Nov & Jan,201,Will a 100 million digit prime number be found before 2016?
19,Prize-Eligible Nov & Jan,204,Will any cases of equine influenza be reported in New Zealand before the end of 2014?
19,Prize-Eligible Nov & Jan,208,"How many research papers, as reported by the SCImago Journal & Country Ranking, will the U.S. have in 2014?"
19,Prize-Eligible Nov & Jan,216,"Will a new clinical trial to evaluate the effectiveness of calorie restriction in slowing the progression of neurological diseases such as Huntington's disease, Parkinson's disease, and Alzheimer's disease start before the end of June 2015?"
19,Prize-Eligible Nov & Jan,224,Will the number of Facebook users worldwide decline in 2014?
19,Prize-Eligible Nov & Jan,229,Will a cancer therapy using near infrared (NIR) light responsive gold nanorods enter a human clinical trial in 2014?
19,Prize-Eligible Nov & Jan,230,"Prior to the start of 2016, will the FDA require labeling of any food or food packaging items as containing nanotechnology-based materials?"
19,Prize-Eligible Nov & Jan,253,"At any point before the end of 2015, will the number of WhatsApp monthly active users reach 1 billion?"
19,Prize-Eligible Nov & Jan,309,Will genomic testing replace clinical diagnosis in any of the common neurological disorders by the end of 2015 ?
19,Prize-Eligible Nov & Jan,314,What will be the average rating of the top 10 chess players in the world on JAN 01 2016?
19,Prize-Eligible Nov & Jan,316,How many chess players will hold a rating of at least 2700 on JUL 01 2015?
19,Prize-Eligible Nov & Jan,321,How many near-Earth large asteroids will NASA detect in 2014?
19,Prize-Eligible Nov & Jan,326,Will NASA detect a near Earth object (NEO) with an estimated Earth impact risk of greater than 0.081 by the end of 2014?
19,Prize-Eligible Nov & Jan,328,Will there be more than one million homes in California powered by solar by the end of 2014?
19,Prize-Eligible Nov & Jan,333,Will the average price for a utility-scale solar photovoltaic (PV) project drop below $0.09 per kilowatts-hour by the end of 2014?
19,Prize-Eligible Nov & Jan,338,"Will Google integrate Bitcoin payments into Google Wallet by February 28, 2015?"
19,Prize-Eligible Nov & Jan,345,"At the end of 2014, will the highest-reported efficiency of a cadium telluride (CdTe) thin film solar cell be greater than the highest-reported efficiency for a CIGS solar cell?"
19,Prize-Eligible Nov & Jan,347,Will a quantum dot solar cell with efficiency greater than 10% be reported before the end of 2014?
19,Prize-Eligible Nov & Jan,355,Will the number of US solar energy jobs increase by more than 20% in 2014?
19,Prize-Eligible Nov & Jan,357,Will global utility-scale solar PV power capacity exceed 30GW by the end of 2014?
19,Prize-Eligible Nov & Jan,358,Will US solar energy consumption exceed 5% of total US renewable energy consumption in 2014?
19,Prize-Eligible Nov & Jan,369,Which team will win the DARPA Robotics Challenge taking place on June 5-6 2015?
19,Prize-Eligible Nov & Jan,374,Will there be at least one major hurricane that makes US landfall in the 2014 hurricane season?
19,Prize-Eligible Nov & Jan,376,Will the average annual concentration of CO2 in the atmosphere recorded by NOAA's Mauna Loa Observatory in Hawaii exceed 400 PPM in 2014?
19,Prize-Eligible Nov & Jan,377,"Will the Mars Curiosity Rover discover organic matter on Mars—evidence that life exists or existed on the planet—by July 1, 2015?"
19,Prize-Eligible Nov & Jan,378,"When will a metropolitain area of over 250,000 people wirelessly network all traffic signals and sensors so that an AI system can optimize 2-dimensional traffic flow in real-time?"
