quest_id,created_at,trade_id
95,12/20/2013,1
419,9/4/2014,1
419,9/28/2014,1
632,1/1/2015,1
632,12/31/2014,1
632,12/17/2014,1
419,11/14/2014,1
632,12/10/2014,1
1027,12/22/2014,1
632,12/5/2014,1
95,1/11/2014,1
632,8/15/2014,1
419,11/20/2014,1
419,12/5/2014,1
419,12/7/2014,1
419,12/9/2014,1
95,2/4/2014,1
419,12/13/2014,1
632,8/7/2014,1
419,12/20/2014,1
419,12/24/2014,1
95,2/11/2014,1
419,12/28/2014,1
632,8/6/2014,1
419,1/4/2015,1
95,2/20/2014,1
632,7/30/2014,1
420,6/3/2014,1
420,6/6/2014,1
632,5/16/2014,1
1164,1/16/2015,1
631,3/9/2015,1
95,2/26/2014,1
95,3/1/2014,1
631,3/7/2015,1
420,7/25/2014,1
631,2/11/2015,1
631,1/23/2015,1
420,8/13/2014,1
420,8/18/2014,1
420,10/30/2014,1
631,1/6/2015,1
631,12/11/2014,1
631,9/20/2014,1
631,9/14/2014,1
420,11/11/2014,1
631,9/13/2014,1
631,9/11/2014,1
631,8/19/2014,1
631,8/12/2014,1
631,8/8/2014,1
631,8/6/2014,1
631,7/31/2014,1
631,7/21/2014,1
631,6/28/2014,1
631,6/10/2014,1
631,5/30/2014,1
95,5/27/2014,1
631,5/29/2014,1
631,5/27/2014,1
631,5/18/2014,1
420,11/27/2014,1
16,6/14/2014,1
631,5/17/2014,1
1027,12/5/2014,1
631,5/16/2014,1
629,3/10/2015,1
629,3/8/2015,1
629,3/2/2015,1
629,2/11/2015,1
629,2/9/2015,1
629,1/23/2015,1
629,1/14/2015,1
420,12/9/2014,1
420,12/10/2014,1
629,1/13/2015,1
629,1/3/2015,1
629,1/2/2015,1
629,12/3/2014,1
629,12/2/2014,1
1027,11/29/2014,1
420,12/19/2014,1
95,6/8/2014,1
420,12/21/2014,1
629,12/1/2014,1
420,12/27/2014,1
420,12/28/2014,1
16,6/16/2014,1
95,6/11/2014,1
420,1/8/2015,1
1027,11/26/2014,1
420,1/11/2015,1
420,1/13/2015,1
629,11/22/2014,1
629,9/30/2014,1
1027,11/19/2014,1
629,9/24/2014,1
629,9/4/2014,1
629,8/19/2014,1
