Question ID,Qtr1 Trade Cnt,Qtr2 Trade Cnt,Sum,setA,setB,setN
8,1,2,3,F,F,T
18,3,#N/A,3,F,F,T
21,2,2,4,F,F,T
24,4,2,6,F,F,T
25,2,2,4,F,F,T
26,4,2,6,F,F,T
27,7,3,10,F,F,T
30,19,2,21,F,F,T
31,4,3,7,F,F,T
32,1,4,5,F,F,T
33,1,#N/A,1,F,F,T
34,2,#N/A,2,F,F,T
43,4,#N/A,4,F,T,F
44,24,#N/A,24,T,F,F
45,23,#N/A,23,T,F,F
46,5,#N/A,5,F,T,F
47,2,#N/A,2,F,T,F
48,38,#N/A,38,T,F,F
49,4,#N/A,4,F,F,T
50,2,#N/A,2,F,F,T
56,2,1,3,F,F,T
57,7,8,15,F,F,T
58,5,#N/A,5,F,F,T
59,2,#N/A,2,F,F,T
60,2,#N/A,2,F,F,T
64,1,4,5,F,F,T
65,1,#N/A,1,F,F,T
66,1,#N/A,1,F,F,T
68,3,#N/A,3,F,F,T
69,1,#N/A,1,F,F,T
70,3,1,4,F,F,T
71,11,#N/A,11,F,F,T
76,70,32,102,T,F,F
84,11,49,60,F,T,F
102,19,85,104,F,T,F
103,57,22,79,T,F,F
105,45,30,75,F,F,T
107,1,#N/A,1,F,F,T
123,10,1,11,T,F,F
124,5,1,6,F,F,T
125,3,4,7,F,F,T
128,50,22,72,T,F,F
129,43,6,49,T,F,F
130,4,22,26,F,T,F
132,10,10,20,F,F,T
133,16,19,35,F,F,T
134,2,1,3,F,F,T
136,55,6,61,F,F,T
137,2,1,3,F,F,T
138,30,15,45,T,F,F
139,#N/A,23,23,F,T,F
140,35,7,42,T,F,F
141,#N/A,1,1,F,F,T
144,14,4,18,T,F,F
145,6,70,76,F,T,F
146,1,15,16,F,F,T
147,3,4,7,F,F,T
148,#N/A,1,1,F,F,T
151,6,2,8,F,F,T
152,#N/A,1,1,F,F,T
154,24,32,56,T,F,F
156,#N/A,2,2,F,F,T
158,60,17,77,T,F,F
161,1,#N/A,1,F,F,T
162,1,#N/A,1,F,F,T
170,1,1,2,F,F,T
171,2,6,8,F,F,T
172,8,45,53,F,T,F
173,28,10,38,T,F,F
175,27,#N/A,27,T,F,F
176,2,2,4,F,F,T
177,3,#N/A,3,F,F,T
178,9,2,11,F,F,T
