quest_id,quarter1_trade_counts,setA,setB,setN
44,24,T,F,F
45,23,T,F,F
48,38,T,F,F
76,70,T,F,F
103,57,T,F,F
123,10,T,F,F
128,50,T,F,F
129,43,T,F,F
138,30,T,F,F
140,35,T,F,F
144,14,T,F,F
154,24,T,F,F
158,60,T,F,F
173,28,T,F,F
175,27,T,F,F
179,8,T,F,F
184,67,T,F,F
191,8,T,F,F
193,21,T,F,F
195,6,T,F,F
197,8,T,F,F
201,37,T,F,F
204,51,T,F,F
208,44,T,F,F
216,53,T,F,F
224,14,T,F,F
229,56,T,F,F
230,16,T,F,F
253,18,T,F,F
309,20,T,F,F
314,15,T,F,F
316,11,T,F,F
321,215,T,F,F
326,45,T,F,F
328,65,T,F,F
333,16,T,F,F
338,44,T,F,F
345,14,T,F,F
347,15,T,F,F
355,33,T,F,F
357,16,T,F,F
358,46,T,F,F
369,37,T,F,F
374,45,T,F,F
376,7,T,F,F
377,9,T,F,F
384,52,T,F,F
386,34,T,F,F
403,89,T,F,F
416,4,T,F,F
418,81,T,F,F
419,26,T,F,F
420,187,T,F,F
425,17,T,F,F
428,5,T,F,F
438,32,T,F,F
447,52,T,F,F
448,12,T,F,F
451,18,T,F,F
452,37,T,F,F
454,37,T,F,F
467,2,T,F,F
468,6,T,F,F
529,36,T,F,F
553,19,T,F,F
561,11,T,F,F
565,29,T,F,F
581,4,T,F,F
583,69,T,F,F
588,102,T,F,F
607,10,T,F,F
609,8,T,F,F
620,109,T,F,F
622,53,T,F,F
625,23,T,F,F
633,9,T,F,F
635,13,T,F,F
644,6,T,F,F
647,38,T,F,F
654,27,T,F,F
663,4,T,F,F
665,12,T,F,F
670,16,T,F,F
679,28,T,F,F
684,52,T,F,F
693,1,T,F,F
702,86,T,F,F
704,22,T,F,F
706,81,T,F,F
710,47,T,F,F
715,29,T,F,F
719,12,T,F,F
720,46,T,F,F
724,25,T,F,F
726,31,T,F,F
741,18,T,F,F
745,13,T,F,F
774,45,T,F,F
786,11,T,F,F
791,46,T,F,F
793,7,T,F,F
801,47,T,F,F
816,16,T,F,F
818,22,T,F,F
819,19,T,F,F
822,48,T,F,F
839,12,T,F,F
842,89,T,F,F
847,1,T,F,F
851,15,T,F,F
853,238,T,F,F
856,53,T,F,F
858,18,T,F,F
863,44,T,F,F
875,20,T,F,F
876,27,T,F,F
895,14,T,F,F
897,132,T,F,F
900,23,T,F,F
905,67,T,F,F
910,22,T,F,F
918,165,T,F,F
920,59,T,F,F
922,72,T,F,F
923,38,T,F,F
925,160,T,F,F
926,45,T,F,F
927,54,T,F,F
929,10,T,F,F
931,14,T,F,F
933,15,T,F,F
936,27,T,F,F
940,80,T,F,F
941,1,T,F,F
942,15,T,F,F
943,1,T,F,F
944,8,T,F,F
957,94,T,F,F
958,38,T,F,F
959,22,T,F,F
961,11,T,F,F
962,69,T,F,F
963,31,T,F,F
964,22,T,F,F
966,8,T,F,F
977,104,T,F,F
978,52,T,F,F
979,23,T,F,F
981,4,T,F,F
987,88,T,F,F
988,19,T,F,F
989,20,T,F,F
991,6,T,F,F
1004,176,T,F,F
1007,3,T,F,F
1010,3,T,F,F
1011,4,T,F,F
1014,2,T,F,F
1016,3,T,F,F
1026,37,T,F,F
1030,94,T,F,F
1034,29,T,F,F
1039,57,T,F,F
1040,39,T,F,F
1041,91,T,F,F
1042,19,T,F,F
1044,47,T,F,F
43,4,F,T,F
46,5,F,T,F
47,2,F,T,F
84,11,F,T,F
102,19,F,T,F
130,4,F,T,F
145,6,F,T,F
172,8,F,T,F
183,7,F,T,F
188,10,F,T,F
189,8,F,T,F
190,13,F,T,F
192,8,F,T,F
194,18,F,T,F
199,10,F,T,F
205,2,F,T,F
209,5,F,T,F
212,5,F,T,F
213,20,F,T,F
217,9,F,T,F
220,2,F,T,F
254,4,F,T,F
257,3,F,T,F
307,4,F,T,F
334,7,F,T,F
337,4,F,T,F
341,17,F,T,F
342,13,F,T,F
343,26,F,T,F
349,29,F,T,F
352,11,F,T,F
359,8,F,T,F
360,7,F,T,F
361,3,F,T,F
372,10,F,T,F
375,44,F,T,F
382,80,F,T,F
393,6,F,T,F
399,9,F,T,F
404,25,F,T,F
405,10,F,T,F
410,10,F,T,F
413,3,F,T,F
417,9,F,T,F
422,4,F,T,F
426,6,F,T,F
445,9,F,T,F
459,12,F,T,F
465,5,F,T,F
466,15,F,T,F
469,12,F,T,F
511,4,F,T,F
533,4,F,T,F
551,1,F,T,F
552,2,F,T,F
554,24,F,T,F
559,1,F,T,F
560,2,F,T,F
562,5,F,T,F
566,272,F,T,F
580,22,F,T,F
582,11,F,T,F
584,7,F,T,F
587,5,F,T,F
616,4,F,T,F
623,8,F,T,F
624,11,F,T,F
628,2,F,T,F
632,1,F,T,F
640,1,F,T,F
649,18,F,T,F
656,26,F,T,F
659,15,F,T,F
664,5,F,T,F
666,11,F,T,F
673,2,F,T,F
681,5,F,T,F
703,2,F,T,F
705,3,F,T,F
708,4,F,T,F
717,29,F,T,F
718,14,F,T,F
723,3,F,T,F
727,26,F,T,F
732,13,F,T,F
733,15,F,T,F
761,1,F,T,F
776,27,F,T,F
787,2,F,T,F
789,9,F,T,F
792,8,F,T,F
794,4,F,T,F
802,4,F,T,F
803,9,F,T,F
817,8,F,T,F
835,7,F,T,F
837,23,F,T,F
838,8,F,T,F
845,4,F,T,F
848,1,F,T,F
857,2,F,T,F
859,3,F,T,F
860,8,F,T,F
861,7,F,T,F
862,1,F,T,F
865,2,F,T,F
866,6,F,T,F
867,7,F,T,F
877,1,F,T,F
880,9,F,T,F
894,11,F,T,F
896,3,F,T,F
898,21,F,T,F
899,42,F,T,F
901,13,F,T,F
906,6,F,T,F
907,11,F,T,F
917,25,F,T,F
924,3,F,T,F
932,5,F,T,F
934,11,F,T,F
937,10,F,T,F
939,2,F,T,F
947,39,F,T,F
948,12,F,T,F
949,8,F,T,F
952,27,F,T,F
967,13,F,T,F
968,1,F,T,F
972,38,F,T,F
973,1,F,T,F
974,1,F,T,F
982,58,F,T,F
983,6,F,T,F
1025,6,F,T,F
1027,25,F,T,F
1029,2,F,T,F
1031,1,F,T,F
1032,2,F,T,F
1036,11,F,T,F
1037,10,F,T,F
1038,1,F,T,F
1043,15,F,T,F
1047,9,F,T,F
1051,18,F,T,F
1052,11,F,T,F
1056,4,F,T,F
1061,3,F,T,F
1068,2,F,T,F
1069,12,F,T,F
1072,4,F,T,F
1075,4,F,T,F
8,1,F,F,T
18,3,F,F,T
21,2,F,F,T
24,4,F,F,T
25,2,F,F,T
26,4,F,F,T
27,7,F,F,T
28,9,F,F,T
29,9,F,F,T
30,19,F,F,T
31,4,F,F,T
32,1,F,F,T
33,1,F,F,T
34,2,F,F,T
49,4,F,F,T
50,2,F,F,T
56,2,F,F,T
57,7,F,F,T
58,5,F,F,T
59,2,F,F,T
60,2,F,F,T
64,1,F,F,T
65,1,F,F,T
66,1,F,F,T
68,3,F,F,T
69,1,F,F,T
70,3,F,F,T
71,11,F,F,T
105,45,F,F,T
107,1,F,F,T
124,5,F,F,T
125,3,F,F,T
132,10,F,F,T
133,16,F,F,T
134,2,F,F,T
136,55,F,F,T
137,2,F,F,T
146,1,F,F,T
147,3,F,F,T
151,6,F,F,T
161,1,F,F,T
162,1,F,F,T
170,1,F,F,T
171,2,F,F,T
176,2,F,F,T
177,3,F,F,T
178,9,F,F,T
180,1,F,F,T
182,1,F,F,T
198,3,F,F,T
200,10,F,F,T
225,1,F,F,T
228,4,F,F,T
231,3,F,F,T
302,1,F,F,T
311,1,F,F,T
312,8,F,F,T
313,13,F,F,T
317,10,F,F,T
318,9,F,F,T
320,54,F,F,T
322,8,F,F,T
346,8,F,F,T
351,1,F,F,T
353,5,F,F,T
363,1,F,F,T
379,21,F,F,T
400,1,F,F,T
402,8,F,F,T
406,4,F,F,T
411,7,F,F,T
414,7,F,F,T
421,8,F,F,T
424,5,F,F,T
431,2,F,F,T
435,2,F,F,T
436,1,F,F,T
437,1,F,F,T
442,2,F,F,T
443,1,F,F,T
446,13,F,F,T
449,2,F,F,T
450,20,F,F,T
453,3,F,F,T
455,3,F,F,T
456,1,F,F,T
484,15,F,F,T
508,2,F,F,T
531,3,F,F,T
532,1,F,F,T
534,9,F,F,T
535,1,F,F,T
540,1,F,F,T
541,2,F,F,T
547,3,F,F,T
548,5,F,F,T
549,1,F,F,T
555,17,F,F,T
556,40,F,F,T
557,1,F,F,T
558,2,F,F,T
568,1,F,F,T
577,1,F,F,T
586,1,F,F,T
608,1,F,F,T
629,11,F,F,T
634,2,F,F,T
636,5,F,F,T
637,164,F,F,T
638,6,F,F,T
639,7,F,F,T
646,1,F,F,T
651,2,F,F,T
653,15,F,F,T
668,7,F,F,T
678,1,F,F,T
680,3,F,F,T
682,2,F,F,T
683,4,F,F,T
686,1,F,F,T
688,3,F,F,T
689,4,F,F,T
690,1,F,F,T
691,1,F,F,T
692,2,F,F,T
694,6,F,F,T
696,7,F,F,T
697,9,F,F,T
701,2,F,F,T
709,1,F,F,T
711,14,F,F,T
712,1,F,F,T
714,4,F,F,T
721,9,F,F,T
722,2,F,F,T
725,3,F,F,T
729,8,F,F,T
731,9,F,F,T
734,2,F,F,T
736,1,F,F,T
740,4,F,F,T
742,8,F,F,T
743,1,F,F,T
744,2,F,F,T
746,1,F,F,T
748,24,F,F,T
749,9,F,F,T
753,1,F,F,T
755,9,F,F,T
756,2,F,F,T
757,7,F,F,T
760,6,F,F,T
762,4,F,F,T
768,16,F,F,T
769,6,F,F,T
770,2,F,F,T
771,18,F,F,T
772,10,F,F,T
777,10,F,F,T
778,7,F,F,T
782,1,F,F,T
783,1,F,F,T
788,1,F,F,T
790,1,F,F,T
795,2,F,F,T
798,1,F,F,T
799,9,F,F,T
804,8,F,F,T
806,8,F,F,T
809,1,F,F,T
812,74,F,F,T
813,26,F,F,T
820,2,F,F,T
821,3,F,F,T
823,1,F,F,T
824,4,F,F,T
825,4,F,F,T
826,2,F,F,T
827,17,F,F,T
841,7,F,F,T
