"questionId","numChoices"
1074,1
887,1
802,1
1209,1
1080,1
496,8
455,1
630,2
1087,1
1101,1
209,1
606,2
850,1
801,2
1083,2
856,2
756,1
1124,1
1231,1
151,1
872,1
921,1
253,1
119,6
101,4
339,2
847,1
25,1
1048,1
1043,1
1069,6
359,2
1060,1
26,1
213,2
137,1
1250,1
957,1
745,1
996,1
1162,1
379,6
405,2
1229,1
168,2
136,1
196,2
910,1
373,2
27,1
969,1
1171,1
230,1
883,1
1116,1
414,1
785,2
667,2
765,2
449,1
1146,1
942,1
1108,2
899,2
1120,1
786,2
1071,1
149,5
93,4
733,2
1093,1
307,1
382,1
825,1
335,5
706,1
1009,1
555,1
541,1
838,1
1073,1
554,6
805,1
1100,1
191,2
815,2
774,1
714,1
1178,1
11,4
135,1
228,1
1065,1
523,2
39,5
1047,1
537,6
839,1
1210,1
834,5
882,1
508,1
526,2
489,2
131,2
974,1
178,1
1222,1
1031,1
471,2
1033,1
255,2
1019,1
357,2
812,1
465,2
958,1
325,5
17,2
1021,1
563,2
142,7
66,1
827,1
479,2
160,2
861,1
504,2
284,5
512,2
33,1
1003,1
1188,1
633,1
1104,1
816,1
900,1
779,1
1085,1
442,1
109,6
57,1
1243,1
31,1
914,1
738,2
524,2
1129,1
644,1
817,1
949,1
505,2
34,1
12,2
282,5
321,5
1117,1
10,2
428,2
324,2
684,1
18,1
614,4
146,1
139,1
752,5
848,1
1207,1
143,2
594,2
424,1
98,4
193,2
381,13
927,1
655,11
408,2
466,8
853,2
617,20
674,2
995,1
167,1
1251,1
1225,1
918,17
672,2
64,1
478,2
1200,1
956,1
1109,1
145,2
777,1
582,1
458,2
198,1
104,6
629,1
163,6
413,1
102,2
898,2
315,1
1134,1
71,1
1175,1
533,1
1014,1
796,1
2,4
1026,1
72,5
1153,1
343,2
624,2
177,5
626,20
843,1
823,5
705,2
346,2
480,2
841,1
337,1
727,1
886,1
1150,1
696,1
419,2
459,2
1164,1
938,1
314,1
627,20
1063,2
391,2
444,2
689,1
400,1
893,3
1139,1
1023,2
1140,2
636,1
473,2
1000,1
320,1
595,2
819,2
47,5
1194,1
651,1
741,1
813,1
211,7
46,5
1252,1
919,1
15,2
304,2
851,1
1219,1
361,2
1246,1
77,2
125,6
140,1
687,2
474,2
153,2
631,1
73,5
806,1
1201,1
182,1
40,5
56,5
355,2
590,2
579,1
729,1
946,1
123,1
885,1
348,6
1045,1
984,1
1064,1
1215,1
868,1
891,1
332,1
468,2
880,1
730,8
575,2
333,1
1223,1
484,1
1180,1
915,1
189,2
712,1
569,2
1141,1
404,2
507,2
596,2
547,1
923,2
1082,1
997,1
485,2
952,1
1118,1
578,2
977,1
1123,1
556,1
376,2
226,2
500,2
13,2
879,1
1152,1
723,1
1226,1
515,2
566,1
91,4
642,2
737,2
770,1
433,5
303,2
543,7
365,6
1131,2
869,1
532,1
165,12
287,5
748,2
837,1
21,1
897,2
1056,1
152,1
475,2
536,2
719,2
401,2
1156,1
5,2
462,2
461,6
499,2
181,1
789,2
1049,6
340,2
593,2
1007,1
498,2
661,6
1137,1
367,2
822,1
983,1
896,1
994,1
979,1
1011,1
1184,1
609,1
1186,1
429,2
718,2
519,2
1242,1
432,3
846,1
673,1
931,1
112,6
625,2
656,2
254,1
1203,1
96,4
694,4
581,1
863,1
818,2
1136,1
396,2
107,24
820,1
679,2
954,1
493,2
935,1
1029,1
600,2
1148,1
319,5
937,2
530,1
775,1
889,7
435,1
653,1
654,1
576,6
1001,1
759,1
1183,1
589,14
19,2
398,2
913,1
108,25
643,2
966,1
1051,1
1089,3
65,1
52,2
317,1
635,2
440,1
1017,1
37,6
85,7
1022,2
1135,1
421,1
32,1
1122,1
1102,2
546,7
1062,1
358,2
701,1
164,4
736,1
326,2
704,2
78,2
1006,1
1181,1
941,2
603,2
875,2
1202,1
637,1
133,1
100,4
1107,1
443,1
758,4
755,1
492,2
638,1
892,1
416,2
804,1
232,2
1220,1
427,1
739,2
803,2
158,1
113,6
172,2
377,1
1091,1
24,1
184,1
170,1
403,2
494,2
1235,1
55,5
1018,1
374,2
68,1
652,1
535,1
1233,1
565,1
456,1
728,2
128,2
38,6
1236,1
928,1
353,1
1052,1
722,1
256,2
216,1
1078,1
202,2
646,1
987,1
865,1
1157,1
725,1
195,2
129,2
744,1
1106,1
8,1
1230,1
483,1
707,2
971,1
305,2
930,9
551,1
318,1
683,1
312,1
179,2
855,2
1138,1
877,2
470,2
542,7
685,2
876,2
959,1
1213,1
110,6
693,2
175,5
370,1
622,1
99,4
1128,1
1005,1
48,5
821,1
28,1
967,1
732,1
699,2
313,1
94,4
362,1
1002,1
1099,1
204,2
162,1
30,1
356,6
585,2
95,4
1050,1
122,6
62,5
514,2
871,1
762,1
329,1
623,1
751,5
1224,1
531,1
1040,1
454,1
180,6
390,2
127,2
939,2
1244,1
1133,1
628,2
439,1
669,2
1130,1
988,1
675,1
670,2
117,5
991,1
709,1
438,2
185,2
1057,1
545,7
708,1
940,1
697,1
487,2
1110,1
553,1
1151,1
309,1
795,1
1190,1
349,8
363,1
341,1
1096,1
632,1
286,5
1154,1
1198,1
446,1
155,2
986,1
434,2
417,2
717,1
605,2
710,2
587,1
1240,1
604,2
799,1
842,1
389,2
961,1
767,4
97,4
641,1
702,2
205,2
1067,1
197,4
639,1
1103,1
750,2
447,2
114,6
558,1
351,1
156,1
1142,1
302,1
386,2
934,2
951,1
1020,1
534,1
126,2
194,2
511,2
430,4
844,1
835,7
506,8
964,1
922,2
968,1
316,1
336,1
688,1
520,2
132,1
378,13
1216,1
369,1
721,1
742,1
724,1
1176,1
788,1
1072,1
1008,1
457,2
67,1
826,1
1055,1
1032,1
764,2
464,2
1004,1
352,2
395,2
761,2
947,1
703,1
1248,1
1066,1
224,2
477,2
735,7
660,2
658,2
1165,1
1169,1
1247,1
50,1
1075,1
586,1
513,2
973,1
845,5
51,2
1132,2
406,1
76,2
69,1
460,2
1163,1
334,1
1098,2
203,2
529,1
1238,1
385,2
441,1
552,1
393,1
557,1
778,2
521,2
870,2
1197,1
