about_me,created_at,default_trade_preference,email_verified,groups,interests,is_active,num_trades,opt_out_email,referral_id,user_id,username,wants_admin_emails,wants_comment_emails,wants_daily_digest_emails,wants_market_alert_emails,wants_question_resolution_emails
None,2013-11-17 10:37:23.921438,None,True,"Admin,User,Internal,SuperAdmin,UserAdmin,QuestionAdmin,RolesAdmin,BadgesAdmin,Study 2.1A,BannerAdmin",None,True,349,None,None,1,daggre_admin,True,False,False,False,True
None,2013-11-17 10:40:07.291773,None,True,"Internal,User",,True,0,None,None,2,gbs_tester,True,False,False,False,True
Root,2013-11-27 11:18:55.421822,None,True,"Admin,User,Internal,SuperAdmin,UserAdmin,QuestionAdmin,Johns Hopkins,BannerAdmin,TRADOC",,True,7,0,AAAS,3,bgoldfedder,True,False,False,False,True
None,2013-11-27 11:40:19.424055,None,True,"Admin,User,Internal,SuperAdmin,UserAdmin,QuestionAdmin,RolesAdmin,BadgesAdmin,IEEE,Indiana University (Bloomington),Stanford University,BannerAdmin",,True,51,0,None,4,amsiegel,True,True,True,True,True
None,2013-11-27 12:56:00.067671,None,True,"Admin,User,Internal,SuperAdmin,UserAdmin,QuestionAdmin,BannerAdmin",,True,0,None,None,5,Inkling,True,False,False,False,True
None,2013-11-27 16:16:44.386898,2,True,"Admin,User,Internal,UserAdmin,QuestionAdmin,RolesAdmin,BadgesAdmin,GroupsAdmin,IEEE,Duke University,Stanford University,TRADOC,IEEE_TRADOC","Agriculture,Biology & Medicine,Business of Science and Technology,Chemistry,Computational Sciences,Energy,Engineered Tech,Global Change",True,57,None,None,6,Question Mark,True,False,False,False,True
Personal (non-admin) account for the SciCast PI.,2013-11-27 16:31:18.111198,2,True,"Study 2.1A,George Mason University,Internal,User","Computational Sciences,Energy,Global Change",True,156,0,None,7,ctwardy,True,True,True,False,True
"Admin account used by the SciCast research team, usually the PI (Charles Twardy).",2013-11-27 17:02:45.811245,2,True,"Admin,User,Internal,UserAdmin,TradeAdmin,QuestionAdmin,RolesAdmin,BadgesAdmin,Study 2.1A,Study 2.1B,BannerAdmin,TRADOC,IEEE_TRADOC","Computational Sciences,Energy,Global Change",True,74,0,None,8,scicast_admin,True,True,True,False,True
None,2013-11-30 15:13:26.771791,2,True,"Admin,User,Internal,UserAdmin,QuestionAdmin,Study 2.1A,George Mason University","Agriculture,Biology & Medicine,Business of Science and Technology,Chemistry,Computational Sciences,Energy,Engineered Technologies,Global Change",True,16,None,None,9,klaskey,True,False,False,False,True
None,2013-11-30 17:20:46.875298,None,True,"Admin,User,Internal,UserAdmin,QuestionAdmin,RolesAdmin,BadgesAdmin",,True,3,None,None,10,Naveen Jay,True,False,False,False,True
None,2013-11-30 18:01:50.608061,None,True,"Admin,User,Internal,SuperAdmin,UserAdmin,EmailAdmin,QuestionAdmin,RolesAdmin,BadgesAdmin,BannerAdmin",,True,0,None,None,11,ssmith,True,False,False,False,True
None,2013-11-30 19:16:23.234915,None,True,"Internal,User","Business of Science and Technology,Computational Sciences,Engineered Technologies",True,0,None,None,12,RobinHanson,True,False,False,False,True
None,2013-11-30 23:22:40.227996,None,True,"Admin,User,Internal,SuperAdmin,UserAdmin,RolesAdmin,BadgesAdmin,The University of Kansas,BannerAdmin","Agriculture,Biology & Medicine,Business of Science and Technology,Chemistry,Computational Sciences,Energy,Engineered Technologies,Global Change",True,27,None,None,13,jessiejury,True,False,False,False,True
None,2013-12-01 07:23:52.869844,None,True,"Duke University,Study 2.1B,User","Biology & Medicine,Business of Science and Technology,Computational Sciences,Engineered Technologies,Global Change",True,782,1,None,14,Dopefer,True,False,False,False,True
None,2013-12-01 09:35:59.733896,None,True,"Internal,User","Agriculture,Biology & Medicine,Business of Science and Technology,Chemistry,Computational Sciences,Energy,Engineered Technologies,Global Change",True,0,None,None,15,jason.matheny,True,False,False,False,True
None,2013-12-01 11:16:29.097921,None,True,"Internal,User","Biology & Medicine,Business of Science and Technology,Computational Sciences,Energy",True,0,0,None,16,philippe,True,False,False,False,True
None,2013-12-02 08:39:38.688917,None,True,"Internal,User",,True,0,None,None,17,randazzese,True,False,False,False,True
None,2013-12-02 11:23:37.661499,None,True,"Admin,User,Internal,UserAdmin,QuestionAdmin,BadgesAdmin,GroupsAdmin,IEEE",,False,15,1,None,18,dd64eb6c490543ef,True,False,False,False,True
None,2013-12-02 12:33:04.905542,None,True,User,Engineered Technologies,True,0,None,None,19,landcolin,True,False,False,False,True
None,2013-12-02 13:14:02.422656,2,True,"Study 2.1A,User","Agriculture,Biology & Medicine,Global Change",True,111,None,None,20,palexd,True,False,False,False,True
None,2013-12-02 14:05:40.377706,None,True,User,"Biology & Medicine,Business of Science and Technology,Energy",True,0,None,None,21,gsolla,True,False,False,False,True
None,2013-12-02 15:18:57.145350,None,True,User,"Agriculture,Biology & Medicine,Business of Science and Technology,Computational Sciences,Energy,Engineered Technologies,Global Change",True,0,None,None,22,brook568,True,False,False,False,True
None,2013-12-02 16:57:45.960315,None,True,User,"Agriculture,Business of Science and Technology,Computational Sciences,Global Change",True,2,None,None,23,Scooby,True,False,False,False,True
None,2013-12-02 17:19:19.347872,None,True,User,Business of Science and Technology,True,0,None,None,24,jlsmendes,True,False,False,False,True
None,2013-12-02 18:18:28.186281,2,True,"Study 2.1A,Internal,User",Business of Science and Technology,False,9,1,None,25,brobins,True,False,False,False,True
