"quest_id","created_at","trade_id"
410,"2014-10-21",1
91,"2014-08-06",1
410,"2014-11-06",1
410,"2014-11-09",1
410,"2014-11-12",1
410,"2014-11-15",1
620,"2014-12-10",1
410,"2014-11-25",1
410,"2014-12-11",1
411,"2014-05-30",1
411,"2014-06-04",1
411,"2014-06-06",1
620,"2014-11-18",1
1012,"2015-01-30",1
620,"2014-11-12",1
411,"2014-06-24",1
1012,"2015-01-23",1
411,"2014-07-09",1
620,"2014-11-09",1
16,"2014-03-22",1
620,"2014-11-02",1
411,"2014-07-31",1
620,"2014-10-30",1
411,"2014-08-06",1
620,"2014-10-17",1
411,"2014-08-10",1
620,"2014-10-11",1
411,"2014-08-13",1
411,"2014-08-14",1
411,"2014-08-19",1
411,"2014-08-21",1
620,"2014-10-10",1
620,"2014-08-31",1
411,"2014-09-15",1
411,"2014-09-16",1
16,"2014-04-01",1
411,"2014-10-20",1
16,"2014-04-11",1
620,"2014-08-28",1
411,"2014-11-18",1
411,"2014-11-22",1
411,"2014-12-04",1
411,"2015-01-13",1
411,"2015-01-14",1
413,"2014-04-11",1
413,"2014-04-15",1
413,"2014-05-21",1
413,"2014-05-27",1
413,"2014-05-29",1
620,"2014-08-20",1
620,"2014-08-07",1
620,"2014-07-25",1
620,"2014-06-14",1
620,"2014-06-06",1
413,"2014-06-13",1
620,"2014-06-03",1
92,"2014-01-18",1
617,"2014-05-14",1
413,"2014-07-20",1
617,"2014-05-10",1
616,"2015-02-18",1
616,"2015-02-12",1
616,"2015-02-11",1
413,"2014-08-13",1
413,"2014-08-21",1
413,"2014-09-01",1
616,"2015-02-01",1
16,"2014-04-13",1
413,"2014-12-05",1
413,"2014-12-07",1
616,"2015-01-31",1
92,"2014-02-04",1
413,"2014-12-21",1
616,"2015-01-23",1
92,"2014-04-04",1
92,"2014-05-27",1
616,"2015-01-14",1
616,"2015-01-07",1
414,"2014-04-01",1
414,"2014-04-02",1
414,"2014-04-16",1
616,"2014-12-15",1
414,"2014-06-10",1
1012,"2015-01-16",1
616,"2014-12-14",1
616,"2014-12-11",1
414,"2014-06-21",1
414,"2014-07-05",1
616,"2014-12-10",1
616,"2014-12-09",1
414,"2014-07-30",1
616,"2014-08-21",1
616,"2014-08-19",1
414,"2014-08-13",1
16,"2014-05-04",1
616,"2014-08-12",1
4,"2014-06-11",1
616,"2014-08-06",1
616,"2014-07-31",1
616,"2014-07-10",1
616,"2014-07-09",1
414,"2014-09-16",1
414,"2014-09-20",1
1012,"2015-01-08",1
92,"2014-06-11",1
1012,"2014-12-15",1
414,"2014-11-19",1
414,"2014-11-22",1
414,"2014-11-29",1
414,"2014-12-12",1
414,"2015-01-03",1
414,"2015-01-15",1
414,"2015-01-29",1
616,"2014-06-13",1
414,"2015-02-08",1
414,"2015-02-11",1
616,"2014-06-10",1
415,"2014-04-02",1
615,"2014-05-31",1
416,"2014-03-31",1
416,"2014-04-07",1
416,"2014-05-21",1
1012,"2014-12-09",1
416,"2014-05-29",1
416,"2014-05-30",1
416,"2014-06-03",1
615,"2014-05-20",1
613,"2014-05-20",1
613,"2014-05-13",1
613,"2014-05-08",1
416,"2014-06-18",1
611,"2014-05-08",1
1012,"2014-10-10",1
1012,"2014-10-09",1
416,"2014-07-21",1
611,"2014-05-07",1
610,"2014-07-31",1
1011,"2015-02-13",1
92,"2014-07-25",1
610,"2014-07-20",1
416,"2014-08-06",1
416,"2014-08-07",1
610,"2014-07-08",1
1011,"2015-01-23",1
1011,"2014-12-08",1
609,"2015-01-14",1
416,"2014-11-17",1
416,"2014-12-07",1
416,"2014-12-09",1
416,"2014-12-11",1
416,"2014-12-14",1
1011,"2014-11-24",1
416,"2014-12-29",1
416,"2015-01-06",1
417,"2014-04-07",1
417,"2014-05-03",1
417,"2014-05-21",1
92,"2014-08-13",1
417,"2014-05-29",1
417,"2014-05-30",1
1011,"2014-11-13",1
1198,"2015-02-19",1
609,"2015-01-08",1
609,"2014-12-12",1
609,"2014-12-07",1
92,"2014-10-09",1
609,"2014-11-26",1
417,"2014-07-25",1
609,"2014-11-15",1
417,"2014-07-30",1
609,"2014-11-07",1
16,"2014-05-21",1
609,"2014-11-06",1
417,"2014-08-13",1
417,"2014-09-04",1
417,"2014-11-05",1
417,"2014-11-06",1
417,"2014-11-10",1
93,"2013-12-24",1
417,"2014-11-16",1
417,"2014-11-19",1
417,"2014-11-22",1
417,"2014-11-27",1
417,"2014-12-03",1
417,"2014-12-05",1
16,"2014-05-23",1
609,"2014-08-06",1
609,"2014-07-27",1
609,"2014-06-22",1
93,"2014-01-23",1
609,"2014-05-27",1
417,"2014-12-19",1
608,"2015-02-08",1
608,"2015-01-13",1
1198,"2015-02-18",1
417,"2015-01-06",1
418,"2014-04-04",1
418,"2014-04-05",1
418,"2014-04-09",1
418,"2014-04-11",1
418,"2014-04-19",1
93,"2014-03-01",1
418,"2014-04-29",1
418,"2014-05-21",1
608,"2014-11-16",1
608,"2014-08-16",1
93,"2014-04-04",1
418,"2014-06-04",1
608,"2014-08-06",1
608,"2014-07-31",1
418,"2014-06-12",1
93,"2014-05-27",1
418,"2014-06-14",1
608,"2014-07-20",1
608,"2014-07-09",1
608,"2014-06-24",1
1011,"2014-11-12",1
418,"2014-06-27",1
608,"2014-06-21",1
418,"2014-07-01",1
93,"2014-05-31",1
1141,"2015-01-14",1
608,"2014-06-10",1
418,"2014-07-09",1
1011,"2014-11-07",1
418,"2014-07-11",1
608,"2014-06-06",1
608,"2014-06-03",1
1011,"2014-10-10",1
418,"2014-07-25",1
608,"2014-05-07",1
608,"2014-05-06",1
607,"2015-01-30",1
607,"2014-12-28",1
418,"2014-08-13",1
418,"2014-08-16",1
418,"2014-08-18",1
607,"2014-12-21",1
418,"2014-08-27",1
418,"2014-08-28",1
418,"2014-09-01",1
93,"2014-06-11",1
1010,"2015-02-13",1
1010,"2015-02-04",1
607,"2014-12-20",1
607,"2014-12-12",1
93,"2014-06-19",1
607,"2014-12-09",1
1010,"2015-01-30",1
607,"2014-12-05",1
607,"2014-11-26",1
93,"2014-06-21",1
607,"2014-11-17",1
607,"2014-11-06",1
418,"2014-09-27",1
607,"2014-09-23",1
607,"2014-09-17",1
418,"2014-10-02",1
1010,"2015-01-08",1
418,"2014-10-13",1
1010,"2014-12-07",1
418,"2014-10-17",1
418,"2014-10-21",1
418,"2014-10-22",1
418,"2014-10-30",1
1010,"2014-11-15",1
607,"2014-08-29",1
607,"2014-06-30",1
607,"2014-05-25",1
418,"2014-11-08",1
93,"2014-07-25",1
93,"2014-07-28",1
1010,"2014-11-12",1
606,"2014-05-13",1
1010,"2014-11-07",1
606,"2014-05-12",1
418,"2014-11-16",1
93,"2014-08-06",1
1009,"2015-01-16",1
418,"2014-11-20",1
1009,"2015-01-09",1
606,"2014-05-09",1
418,"2014-11-24",1
418,"2014-11-26",1
418,"2014-11-28",1
418,"2014-11-29",1
605,"2014-05-16",1
418,"2014-12-03",1
93,"2014-10-05",1
93,"2014-10-13",1
93,"2014-10-14",1
418,"2014-12-14",1
93,"2014-10-18",1
418,"2014-12-24",1
605,"2014-05-15",1
605,"2014-05-12",1
418,"2015-01-04",1
419,"2014-03-31",1
419,"2014-05-21",1
16,"2014-06-02",1
419,"2014-06-03",1
1140,"2015-02-08",1
419,"2014-06-08",1
605,"2014-05-09",1
604,"2014-05-15",1
419,"2014-06-14",1
604,"2014-05-12",1
604,"2014-05-09",1
419,"2014-06-23",1
1009,"2015-01-08",1
603,"2014-05-18",1
603,"2014-05-15",1
419,"2014-07-24",1
419,"2014-07-25",1
603,"2014-05-12",1
419,"2014-07-30",1
603,"2014-05-09",1
419,"2014-08-06",1
602,"2014-05-16",1
419,"2014-08-13",1
419,"2014-08-14",1
94,"2014-02-04",1
419,"2014-09-04",1
419,"2014-09-28",1
602,"2014-05-12",1
602,"2014-05-09",1
601,"2014-05-19",1
419,"2014-11-14",1
601,"2014-05-16",1
94,"2014-04-04",1
601,"2014-05-15",1
94,"2014-04-10",1
601,"2014-05-12",1
419,"2014-11-20",1
419,"2014-12-05",1
419,"2014-12-07",1
419,"2014-12-09",1
94,"2014-05-27",1
419,"2014-12-13",1
601,"2014-05-09",1
419,"2014-12-20",1
419,"2014-12-24",1
16,"2014-06-04",1
419,"2014-12-28",1
600,"2014-05-15",1
419,"2015-01-04",1
1009,"2014-12-15",1
600,"2014-05-12",1
420,"2014-06-03",1
420,"2014-06-06",1
600,"2014-05-09",1
1009,"2014-12-09",1
599,"2014-05-16",1
94,"2014-06-08",1
1140,"2015-01-29",1
599,"2014-05-15",1
420,"2014-07-25",1
599,"2014-05-12",1
599,"2014-05-09",1
420,"2014-08-13",1
420,"2014-08-18",1
420,"2014-10-30",1
598,"2014-06-05",1
598,"2014-05-29",1
598,"2014-05-22",1
598,"2014-05-21",1
420,"2014-11-11",1
598,"2014-05-17",1
598,"2014-05-15",1
598,"2014-05-12",1
597,"2014-05-16",1
597,"2014-05-15",1
597,"2014-05-12",1
597,"2014-05-09",1
596,"2014-05-26",1
596,"2014-05-22",1
596,"2014-05-21",1
596,"2014-05-09",1
94,"2014-06-11",1
595,"2014-05-16",1
595,"2014-05-15",1
595,"2014-05-12",1
420,"2014-11-27",1
1009,"2014-10-10",1
595,"2014-05-09",1
1009,"2014-10-09",1
594,"2014-05-16",1
594,"2014-05-15",1
594,"2014-05-12",1
594,"2014-05-09",1
593,"2014-05-31",1
593,"2014-05-21",1
593,"2014-05-18",1
593,"2014-05-17",1
420,"2014-12-09",1
420,"2014-12-10",1
593,"2014-05-08",1
593,"2014-05-07",1
592,"2014-05-15",1
592,"2014-05-12",1
592,"2014-05-09",1
1008,"2015-02-13",1
420,"2014-12-19",1
1008,"2015-02-09",1
420,"2014-12-21",1
591,"2014-05-15",1
420,"2014-12-27",1
420,"2014-12-28",1
1008,"2015-01-23",1
94,"2014-07-25",1
420,"2015-01-08",1
1008,"2015-01-16",1
420,"2015-01-11",1
420,"2015-01-13",1
591,"2014-05-12",1
591,"2014-05-09",1
1008,"2015-01-09",1
590,"2014-05-31",1
590,"2014-05-09",1
590,"2014-05-08",1
420,"2015-01-30",1
420,"2015-02-02",1
590,"2014-05-07",1
588,"2015-01-30",1
588,"2014-12-13",1
420,"2015-02-09",1
94,"2014-08-06",1
420,"2015-02-17",1
421,"2014-05-29",1
421,"2014-05-30",1
421,"2014-06-03",1
588,"2014-12-09",1
588,"2014-12-03",1
588,"2014-12-02",1
421,"2014-06-23",1
1008,"2015-01-08",1
421,"2014-07-09",1
588,"2014-11-29",1
588,"2014-11-20",1
421,"2014-07-31",1
1140,"2015-01-14",1
1140,"2015-01-12",1
421,"2014-08-10",1
588,"2014-11-16",1
421,"2014-08-13",1
421,"2014-08-19",1
421,"2014-08-21",1
421,"2014-08-28",1
421,"2014-09-16",1
421,"2014-11-18",1
421,"2014-11-25",1
588,"2014-11-08",1
421,"2014-11-27",1
421,"2014-12-11",1
421,"2015-01-13",1
421,"2015-01-14",1
588,"2014-11-06",1
421,"2015-02-06",1
422,"2014-03-31",1
422,"2014-04-03",1
422,"2014-04-08",1
422,"2014-05-27",1
94,"2014-10-13",1
422,"2014-05-31",1
1198,"2015-02-13",1
588,"2014-10-22",1
588,"2014-10-21",1
95,"2013-12-20",1
588,"2014-10-01",1
588,"2014-09-11",1
1008,"2015-01-06",1
588,"2014-09-04",1
422,"2014-07-25",1
588,"2014-08-19",1
588,"2014-08-14",1
422,"2014-10-16",1
422,"2014-11-10",1
95,"2014-01-11",1
422,"2014-12-05",1
95,"2014-02-04",1
588,"2014-07-31",1
588,"2014-07-23",1
422,"2014-12-09",1
422,"2014-12-13",1
588,"2014-07-10",1
422,"2014-12-17",1
95,"2014-02-11",1
588,"2014-07-08",1
588,"2014-07-07",1
422,"2015-01-06",1
422,"2015-01-08",1
423,"2014-03-31",1
423,"2014-04-03",1
95,"2014-02-20",1
423,"2014-05-04",1
588,"2014-06-26",1
588,"2014-06-24",1
423,"2014-05-31",1
423,"2014-06-02",1
588,"2014-06-23",1
588,"2014-06-11",1
587,"2015-02-12",1
587,"2015-02-06",1
587,"2015-01-13",1
587,"2014-12-21",1
423,"2014-06-21",1
587,"2014-12-10",1
424,"2014-03-31",1
1140,"2015-01-11",1
95,"2014-02-26",1
95,"2014-03-01",1
424,"2014-06-10",1
587,"2014-12-07",1
587,"2014-12-05",1
587,"2014-12-04",1
587,"2014-11-30",1
587,"2014-11-20",1
587,"2014-11-19",1
587,"2014-11-06",1
424,"2014-07-09",1
424,"2014-07-11",1
424,"2014-07-15",1
95,"2014-05-27",1
587,"2014-08-13",1
424,"2014-07-20",1
16,"2014-06-14",1
424,"2014-07-23",1
1008,"2014-12-31",1
424,"2014-07-30",1
587,"2014-08-10",1
424,"2014-08-10",1
587,"2014-07-30",1
424,"2014-08-17",1
424,"2014-09-09",1
424,"2014-11-24",1
424,"2014-11-25",1
587,"2014-07-24",1
424,"2015-01-13",1
424,"2015-01-30",1
1008,"2014-12-15",1
587,"2014-07-20",1
587,"2014-07-09",1
587,"2014-06-28",1
587,"2014-06-23",1
