questionId,trade_count,q1,q2,q3,q4,setA,setB,setN,active
8,1,T,F,F,F,F,F,T,N
18,3,T,F,F,F,F,F,T,N
21,2,T,F,F,F,F,F,T,N
24,4,T,F,F,F,F,F,T,N
25,2,T,F,F,F,F,F,T,N
26,4,T,F,F,F,F,F,T,N
27,7,T,F,F,F,F,F,T,N
28,9,T,F,F,F,F,F,T,N
29,9,T,F,F,F,F,F,T,N
30,19,T,F,F,F,F,F,T,N
31,4,T,F,F,F,F,F,T,N
32,2,T,F,F,F,F,F,T,N
33,1,T,F,F,F,F,F,T,N
34,2,T,F,F,F,F,F,T,N
36,0,T,F,F,F,F,F,T,N
43,4,T,F,F,F,F,T,F,N
44,24,T,F,F,F,T,F,F,Y
45,23,T,F,F,F,T,F,F,Y
46,5,T,F,F,F,F,T,F,N
47,2,T,F,F,F,F,T,F,N
48,38,T,F,F,F,T,F,F,Y
49,4,T,F,F,F,F,F,T,N
50,2,T,F,F,F,F,F,T,N
56,2,T,F,F,F,F,F,T,N
57,7,T,F,F,F,F,F,T,N
58,5,T,F,F,F,F,F,T,N
59,2,T,F,F,F,F,F,T,N
60,2,T,F,F,F,F,F,T,N
63,0,T,F,F,F,F,F,T,N
64,1,T,F,F,F,F,F,T,N
65,1,T,F,F,F,F,F,T,N
66,1,T,F,F,F,F,F,T,N
68,3,T,F,F,F,F,F,T,N
69,1,T,F,F,F,F,F,T,N
70,3,T,F,F,F,F,F,T,N
71,11,T,F,F,F,F,F,T,N
76,70,T,F,F,F,T,F,F,Y
84,15,T,F,F,F,F,T,F,N
102,24,T,F,F,F,F,T,F,N
103,57,T,F,F,F,T,F,F,Y
105,46,T,F,F,F,F,F,T,N
107,1,T,F,F,F,F,F,T,N
123,10,T,F,F,F,T,F,F,Y
124,5,T,F,F,F,F,F,T,N
125,3,T,F,F,F,F,F,T,N
128,50,T,F,F,F,T,F,F,Y
129,43,T,F,F,F,T,F,F,Y
130,6,T,F,F,F,F,T,F,N
132,11,T,F,F,F,F,F,T,N
133,16,T,F,F,F,F,F,T,N
134,2,T,F,F,F,F,F,T,N
135,0,T,F,F,F,F,F,T,N
136,55,T,F,F,F,F,F,T,N
137,2,T,F,F,F,F,F,T,N
138,30,T,F,F,F,T,F,F,Y
139,0,T,F,F,F,F,T,F,N
140,39,T,F,F,F,T,F,F,Y
141,0,T,F,F,F,F,F,T,N
144,14,T,F,F,F,T,F,F,Y
145,11,T,F,F,F,F,T,F,N
146,1,T,F,F,F,F,F,T,N
147,3,T,F,F,F,F,F,T,N
148,0,T,F,F,F,F,F,T,N
151,6,T,F,F,F,F,F,T,N
152,0,T,F,F,F,F,F,T,N
154,24,T,F,F,F,T,F,F,Y
156,0,T,F,F,F,F,F,T,N
158,64,T,F,F,F,T,F,F,Y
161,1,T,F,F,F,F,F,T,N
162,1,T,F,F,F,F,F,T,N
167,0,T,F,F,F,F,F,T,N
170,1,T,F,F,F,F,F,T,N
171,2,T,F,F,F,F,F,T,N
172,10,T,F,F,F,F,T,F,N
173,28,T,F,F,F,T,F,F,Y
175,27,T,F,F,F,T,F,F,Y
176,2,T,F,F,F,F,F,T,N
177,3,T,F,F,F,F,F,T,N
178,9,T,F,F,F,F,F,T,N
179,8,T,F,F,F,T,F,F,Y
180,1,T,F,F,F,F,F,T,N
181,2,T,F,F,F,F,F,T,N
182,1,T,F,F,F,F,F,T,N
183,12,T,F,F,F,F,T,F,N
184,71,T,F,F,F,T,F,F,Y
188,15,T,F,F,F,F,T,F,N
189,12,T,F,F,F,F,T,F,N
190,16,T,F,F,F,F,T,F,N
191,8,T,F,F,F,T,F,F,Y
192,9,T,F,F,F,F,T,F,N
193,21,T,F,F,F,T,F,F,Y
194,23,T,F,F,F,F,T,F,N
195,6,T,F,F,F,T,F,F,Y
197,8,T,F,F,F,T,F,F,Y
198,3,T,F,F,F,F,F,T,N
199,15,T,F,F,F,F,T,F,N
200,10,T,F,F,F,F,F,T,N
201,37,T,F,F,F,T,F,F,Y
204,51,T,F,F,F,T,F,F,Y
205,5,T,F,F,F,F,T,F,N
207,0,T,F,F,F,F,T,F,N
208,45,T,F,F,F,T,F,F,Y
209,5,T,F,F,F,F,T,F,N
212,7,T,F,F,F,F,T,F,N
213,25,T,F,F,F,F,T,F,N
214,0,T,F,F,F,F,F,T,N
215,0,T,F,F,F,F,F,T,N
216,54,T,F,F,F,T,F,F,Y
217,9,T,F,F,F,F,T,F,N
220,5,T,F,F,F,F,T,F,N
224,14,T,F,F,F,T,F,F,Y
225,1,T,F,F,F,F,F,T,N
226,0,T,F,F,F,F,F,T,N
227,0,T,F,F,F,F,F,T,N
228,4,T,F,F,F,F,F,T,N
229,58,T,F,F,F,T,F,F,Y
230,16,T,F,F,F,T,F,F,Y
231,3,T,F,F,F,F,F,T,N
253,18,T,F,F,F,T,F,F,Y
254,4,T,F,F,F,F,T,F,N
257,3,T,F,F,F,F,T,F,N
287,0,T,F,F,F,F,F,T,N
290,0,T,F,F,F,F,F,T,N
291,0,T,F,F,F,F,F,T,N
292,0,T,F,F,F,F,F,T,N
293,0,T,F,F,F,F,F,T,N
294,0,T,F,F,F,F,F,T,N
295,0,T,F,F,F,F,F,T,N
296,0,T,F,F,F,F,F,T,N
297,0,T,F,F,F,F,F,T,N
298,0,T,F,F,F,F,F,T,N
299,0,T,F,F,F,F,F,T,N
300,0,T,F,F,F,F,F,T,N
