,Q1,,q1,q2,q3,q4,setA,setB,SetN,Active,,,Set A,Set B
8,1,1,T,F,F,F,F,F,T,,N,N,44,43
18,3,1,T,F,F,F,F,F,T,,N,N,45,46
21,2,1,T,F,F,F,F,F,T,,N,N,48,47
24,4,1,T,F,F,F,F,F,T,,N,N,76,84
25,2,1,T,F,F,F,F,F,T,,N,N,103,102
26,4,1,T,F,F,F,F,F,T,,N,N,123,130
27,7,1,T,F,F,F,F,F,T,,N,N,128,139
28,9,1,T,F,F,F,F,F,T,,N,N,129,145
29,9,1,T,F,F,F,F,F,T,,N,N,138,172
30,19,1,T,F,F,F,F,F,T,,N,N,140,183
31,4,1,T,F,F,F,F,F,T,,N,N,144,188
32,2,1,T,F,F,F,F,F,T,,N,N,154,189
33,1,1,T,F,F,F,F,F,T,,N,N,158,190
34,2,1,T,F,F,F,F,F,T,,N,N,173,192
36,0,1,T,F,F,F,F,F,T,,N,N,175,194
43,4,1,T,F,F,F,F,T,F,,N,N,179,199
44,24,1,T,F,F,F,T,F,F,,Y,N,184,205
45,23,1,T,F,F,F,T,F,F,,Y,N,191,207
46,5,1,T,F,F,F,F,T,F,,N,N,193,209
47,2,1,T,F,F,F,F,T,F,,N,N,195,212
48,38,1,T,F,F,F,T,F,F,,Y,N,197,213
49,4,1,T,F,F,F,F,F,T,,N,N,201,217
50,2,1,T,F,F,F,F,F,T,,N,N,204,220
56,2,1,T,F,F,F,F,F,T,,N,N,208,254
57,7,1,T,F,F,F,F,F,T,,N,N,216,255
58,5,1,T,F,F,F,F,F,T,,N,N,224,257
59,2,1,T,F,F,F,F,F,T,,N,N,229,307
60,2,1,T,F,F,F,F,F,T,,N,N,230,334
63,0,1,T,F,F,F,F,F,T,,N,N,253,337
64,1,1,T,F,F,F,F,F,T,,N,N,309,341
65,1,1,T,F,F,F,F,F,T,,N,N,314,342
66,1,1,T,F,F,F,F,F,T,,N,N,316,343
68,3,1,T,F,F,F,F,F,T,,N,N,321,349
69,1,1,T,F,F,F,F,F,T,,N,N,326,352
70,3,1,T,F,F,F,F,F,T,,N,N,328,359
71,11,1,T,F,F,F,F,F,T,,N,N,333,360
76,70,1,T,F,F,F,T,F,F,,Y,N,338,361
84,15,1,T,F,F,F,F,T,F,,N,N,345,370
102,24,1,T,F,F,F,F,T,F,,N,N,347,372
103,57,1,T,F,F,F,T,F,F,,Y,N,355,375
105,46,1,T,F,F,F,F,F,T,,N,N,357,382
107,1,1,T,F,F,F,F,F,T,,N,N,358,393
123,10,1,T,F,F,F,T,F,F,,Y,N,369,399
124,5,1,T,F,F,F,F,F,T,,N,N,374,404
125,3,1,T,F,F,F,F,F,T,,N,N,376,405
