questionId,trade_count,q1,q2,q3,q4,setA,setB,setN,active
8,1,T,F,F,F,F,F,T,N
8,4,F,T,F,F,F,F,T,N
8,3,F,F,T,F,F,F,T,N
18,3,T,F,F,F,F,F,T,N
21,2,T,F,F,F,F,F,T,N
21,2,F,T,F,F,F,F,T,N
21,3,F,F,T,F,F,F,T,N
21,3,F,F,F,T,F,F,T,N
24,4,T,F,F,F,F,F,T,N
24,2,F,T,F,F,F,F,T,N
24,1,F,F,T,F,F,F,T,N
24,3,F,F,F,T,F,F,T,N
25,2,T,F,F,F,F,F,T,N
25,2,F,T,F,F,F,F,T,N
25,1,F,F,T,F,F,F,T,N
25,6,F,F,F,T,F,F,T,N
26,4,T,F,F,F,F,F,T,N
26,2,F,T,F,F,F,F,T,N
26,4,F,F,T,F,F,F,T,N
26,3,F,F,F,T,F,F,T,N
27,7,T,F,F,F,F,F,T,N
27,3,F,T,F,F,F,F,T,N
27,2,F,F,F,T,F,F,T,N
28,9,T,F,F,F,F,F,T,N
28,2,F,T,F,F,F,F,T,N
29,9,T,F,F,F,F,F,T,N
30,19,T,F,F,F,F,F,T,N
30,2,F,T,F,F,F,F,T,N
30,3,F,F,T,F,F,F,T,N
30,2,F,F,F,T,F,F,T,N
31,4,T,F,F,F,F,F,T,N
31,3,F,T,F,F,F,F,T,N
31,2,F,F,T,F,F,F,T,N
31,7,F,F,F,T,F,F,T,N
32,2,T,F,F,F,F,F,T,N
32,4,F,T,F,F,F,F,T,N
43,4,T,F,F,F,F,T,F,N
44,24,T,F,F,F,T,F,F,Y
45,23,T,F,F,F,T,F,F,Y
46,5,T,F,F,F,F,T,F,N
47,2,T,F,F,F,F,T,F,N
48,38,T,F,F,F,T,F,F,Y
49,4,T,F,F,F,F,F,T,N
49,0,F,T,F,F,F,F,T,N
49,4,F,F,T,F,F,F,T,N
50,2,T,F,F,F,F,F,T,N
50,0,F,T,F,F,F,F,T,N
50,3,F,F,T,F,F,F,T,N
56,2,T,F,F,F,F,F,T,N
56,1,F,T,F,F,F,F,T,N
57,7,T,F,F,F,F,F,T,N
57,8,F,T,F,F,F,F,T,N
58,5,T,F,F,F,F,F,T,N
64,4,F,T,F,F,F,F,T,N
64,3,F,F,T,F,F,F,T,N
64,2,F,F,F,T,F,F,T,N
66,4,F,F,F,T,F,F,T,N
68,3,T,F,F,F,F,F,T,N
69,3,F,F,F,T,F,F,T,N
70,3,T,F,F,F,F,F,T,N
70,1,F,T,F,F,F,F,T,N
70,0,F,F,T,F,F,F,T,N
70,5,F,F,F,T,F,F,T,N
71,11,T,F,F,F,F,F,T,N
71,2,F,T,F,F,F,F,T,N
76,70,T,F,F,F,T,F,F,Y
76,32,F,T,F,F,T,F,F,N
84,15,T,F,F,F,F,T,F,N
84,49,F,T,F,F,F,T,F,Y
102,24,T,F,F,F,F,T,F,N
102,85,F,T,F,F,F,T,F,Y
103,57,T,F,F,F,T,F,F,Y
103,24,F,T,F,F,T,F,F,N
105,46,T,F,F,F,F,F,T,N
105,30,F,T,F,F,F,F,T,N
105,16,F,F,T,F,F,F,T,N
105,27,F,F,F,T,F,F,T,N
123,10,T,F,F,F,T,F,F,Y
123,12,F,T,F,F,T,F,F,N
123,14,F,F,T,F,T,F,F,Y
123,3,F,F,F,T,T,F,F,N
124,5,T,F,F,F,F,F,T,N
125,3,T,F,F,F,F,F,T,N
125,4,F,T,F,F,F,F,T,N
133,16,T,F,F,F,F,F,T,N
133,19,F,T,F,F,F,F,T,N
136,55,T,F,F,F,F,F,T,N
136,6,F,T,F,F,F,F,T,N
136,1,F,F,T,F,F,F,T,N
136,2,F,F,F,T,F,F,T,N
137,2,T,F,F,F,F,F,T,N
137,2,F,T,F,F,F,F,T,N
137,2,F,F,T,F,F,F,T,N
137,3,F,F,F,T,F,F,T,N
138,30,T,F,F,F,T,F,F,Y
138,15,F,T,F,F,T,F,F,N
139,0,T,F,F,F,F,T,F,N
139,23,F,T,F,F,F,T,F,Y
139,28,F,F,F,T,F,T,F,Y
140,39,T,F,F,F,T,F,F,Y
140,10,F,T,F,F,T,F,F,N
141,3,F,F,T,F,F,F,T,N
141,2,F,F,F,T,F,F,T,N
144,14,T,F,F,F,T,F,F,Y
144,4,F,T,F,F,T,F,F,N
145,11,T,F,F,F,F,T,F,N
145,70,F,T,F,F,F,T,F,Y
146,15,F,T,F,F,F,F,T,N
146,12,F,F,T,F,F,F,T,N
147,3,T,F,F,F,F,F,T,N
147,4,F,T,F,F,F,F,T,N
151,6,T,F,F,F,F,F,T,N
151,2,F,T,F,F,F,F,T,N
151,8,F,F,T,F,F,F,T,N
151,12,F,F,F,T,F,F,T,N
154,24,T,F,F,F,T,F,F,Y
154,32,F,T,F,F,T,F,F,N
156,2,F,T,F,F,F,F,T,N
156,2,F,F,T,F,F,F,T,N
156,2,F,F,F,T,F,F,T,N
158,64,T,F,F,F,T,F,F,Y
158,19,F,T,F,F,T,F,F,N
158,22,F,F,T,F,T,F,F,Y
158,27,F,F,F,T,T,F,F,N
167,3,F,F,F,T,F,F,T,N
170,3,F,F,F,T,F,F,T,N
171,2,T,F,F,F,F,F,T,N
171,6,F,T,F,F,F,F,T,N
171,2,F,F,T,F,F,F,T,N
172,10,T,F,F,F,F,T,F,N
172,45,F,T,F,F,F,T,F,Y
173,28,T,F,F,F,T,F,F,Y
173,10,F,T,F,F,T,F,F,N
175,27,T,F,F,F,T,F,F,Y
176,2,T,F,F,F,F,F,T,N
176,2,F,T,F,F,F,F,T,N
176,2,F,F,T,F,F,F,T,N
177,3,T,F,F,F,F,F,T,N
178,9,T,F,F,F,F,F,T,N
178,2,F,T,F,F,F,F,T,N
178,2,F,F,T,F,F,F,T,N
178,2,F,F,F,T,F,F,T,N
179,8,T,F,F,F,T,F,F,Y
179,14,F,T,F,F,T,F,F,N
181,2,T,F,F,F,F,F,T,N
181,9,F,T,F,F,F,F,T,N
181,8,F,F,T,F,F,F,T,N
181,4,F,F,F,T,F,F,T,N
182,4,F,T,F,F,F,F,T,N
182,7,F,F,T,F,F,F,T,N
182,11,F,F,F,T,F,F,T,N
183,12,T,F,F,F,F,T,F,N
183,36,F,T,F,F,F,T,F,Y
184,71,T,F,F,F,T,F,F,Y
184,5,F,T,F,F,T,F,F,N
184,14,F,F,T,F,T,F,F,Y
184,14,F,F,F,T,T,F,F,N
188,15,T,F,F,F,F,T,F,N
188,50,F,T,F,F,F,T,F,Y
189,12,T,F,F,F,F,T,F,N
190,16,T,F,F,F,F,T,F,N
190,47,F,T,F,F,F,T,F,Y
191,8,T,F,F,F,T,F,F,Y
191,11,F,T,F,F,T,F,F,N
192,9,T,F,F,F,F,T,F,N
192,27,F,T,F,F,F,T,F,Y
193,21,T,F,F,F,T,F,F,Y
193,17,F,T,F,F,T,F,F,N
194,23,T,F,F,F,F,T,F,N
194,49,F,T,F,F,F,T,F,Y
195,6,T,F,F,F,T,F,F,Y
195,15,F,T,F,F,T,F,F,N
197,8,T,F,F,F,T,F,F,Y
197,14,F,T,F,F,T,F,F,N
197,1,F,F,T,F,T,F,F,Y
198,3,T,F,F,F,F,F,T,N
199,15,T,F,F,F,F,T,F,N
199,35,F,T,F,F,F,T,F,Y
199,1,F,F,T,F,F,T,F,N
200,10,T,F,F,F,F,F,T,N
201,37,T,F,F,F,T,F,F,Y
201,22,F,T,F,F,T,F,F,N
201,5,F,F,T,F,T,F,F,Y
201,6,F,F,F,T,T,F,F,N
204,51,T,F,F,F,T,F,F,Y
204,25,F,T,F,F,T,F,F,N
205,5,T,F,F,F,F,T,F,N
205,17,F,T,F,F,F,T,F,Y
208,45,T,F,F,F,T,F,F,Y
208,14,F,T,F,F,T,F,F,N
208,44,F,F,T,F,T,F,F,Y
208,9,F,F,F,T,T,F,F,N
209,5,T,F,F,F,F,T,F,N
209,59,F,T,F,F,F,T,F,Y
209,6,F,F,T,F,F,T,F,N
209,80,F,F,F,T,F,T,F,Y
212,7,T,F,F,F,F,T,F,N
212,25,F,T,F,F,F,T,F,Y
212,1,F,F,T,F,F,T,F,N
212,10,F,F,F,T,F,T,F,Y
213,25,T,F,F,F,F,T,F,N
213,59,F,T,F,F,F,T,F,Y
216,54,T,F,F,F,T,F,F,Y
216,12,F,T,F,F,T,F,F,N
216,28,F,F,T,F,T,F,F,Y
217,9,T,F,F,F,F,T,F,N
217,26,F,T,F,F,F,T,F,Y
217,4,F,F,T,F,F,T,F,N
220,5,T,F,F,F,F,T,F,N
220,30,F,T,F,F,F,T,F,Y
224,14,T,F,F,F,T,F,F,Y
224,28,F,T,F,F,T,F,F,N
228,4,T,F,F,F,F,F,T,N
228,8,F,T,F,F,F,F,T,N
229,58,T,F,F,F,T,F,F,Y
229,27,F,T,F,F,T,F,F,N
230,16,T,F,F,F,T,F,F,Y
230,8,F,T,F,F,T,F,F,N
230,44,F,F,T,F,T,F,F,Y
230,5,F,F,F,T,T,F,F,N
231,3,T,F,F,F,F,F,T,N
231,6,F,T,F,F,F,F,T,N
253,18,T,F,F,F,T,F,F,Y
253,5,F,T,F,F,T,F,F,N
253,49,F,F,T,F,T,F,F,Y
253,19,F,F,F,T,T,F,F,N
254,4,T,F,F,F,F,T,F,N
254,2,F,T,F,F,F,T,F,Y
254,1,F,F,T,F,F,T,F,N
254,7,F,F,F,T,F,T,F,Y
257,3,T,F,F,F,F,T,F,N
257,8,F,T,F,F,F,T,F,Y
257,1,F,F,T,F,F,T,F,N
257,4,F,F,F,T,F,T,F,Y
302,3,F,F,T,F,F,F,T,N
302,3,F,F,F,T,F,F,T,N
307,4,T,F,F,F,F,T,F,N
307,16,F,T,F,F,F,T,F,Y
307,3,F,F,T,F,F,T,F,N
307,29,F,F,F,T,F,T,F,Y
309,22,T,F,F,F,T,F,F,Y
309,17,F,T,F,F,T,F,F,N
309,36,F,F,T,F,T,F,F,Y
309,9,F,F,F,T,T,F,F,N
310,3,F,F,F,T,F,F,T,N
312,8,T,F,F,F,F,F,T,N
312,0,F,T,F,F,F,F,T,N
312,2,F,F,T,F,F,F,T,N
312,3,F,F,F,T,F,F,T,N
313,13,T,F,F,F,F,F,T,N
313,4,F,T,F,F,F,F,T,N
313,6,F,F,T,F,F,F,T,N
313,1,F,F,F,T,F,F,T,N
314,16,T,F,F,F,T,F,F,Y
314,8,F,T,F,F,T,F,F,N
314,14,F,F,T,F,T,F,F,Y
314,9,F,F,F,T,T,F,F,N
315,2,F,F,F,T,F,F,T,N
316,11,T,F,F,F,T,F,F,Y
316,6,F,T,F,F,T,F,F,N
316,26,F,F,T,F,T,F,F,Y
316,12,F,F,F,T,T,F,F,N
317,10,T,F,F,F,F,F,T,N
317,3,F,T,F,F,F,F,T,N
318,12,T,F,F,F,F,F,T,N
318,4,F,T,F,F,F,F,T,N
318,6,F,F,T,F,F,F,T,N
318,2,F,F,F,T,F,F,T,N
320,54,T,F,F,F,F,F,T,N
320,15,F,T,F,F,F,F,T,N
320,14,F,F,T,F,F,F,T,N
320,13,F,F,F,T,F,F,T,N
321,218,T,F,F,F,T,F,F,Y
321,61,F,T,F,F,T,F,F,N
322,11,T,F,F,F,F,F,T,N
322,2,F,T,F,F,F,F,T,N
322,4,F,F,T,F,F,F,T,N
322,16,F,F,F,T,F,F,T,N
326,45,T,F,F,F,T,F,F,Y
326,17,F,T,F,F,T,F,F,N
327,0,T,F,F,F,F,F,T,N
327,1,F,T,F,F,F,F,T,N
327,14,F,F,T,F,F,F,T,N
327,3,F,F,F,T,F,F,T,N
328,67,T,F,F,F,T,F,F,Y
328,23,F,T,F,F,T,F,F,N
328,4,F,F,T,F,T,F,F,Y
328,1,F,F,F,T,T,F,F,N
330,3,F,F,T,F,F,F,T,N
330,9,F,F,F,T,F,F,T,N
333,17,T,F,F,F,T,F,F,Y
333,8,F,T,F,F,T,F,F,N
333,13,F,F,T,F,T,F,F,Y
333,3,F,F,F,T,T,F,F,N
334,8,T,F,F,F,F,T,F,N
334,23,F,T,F,F,F,T,F,Y
334,3,F,F,T,F,F,T,F,N
334,9,F,F,F,T,F,T,F,Y
337,4,T,F,F,F,F,T,F,N
337,4,F,T,F,F,F,T,F,Y
337,6,F,F,T,F,F,T,F,N
337,11,F,F,F,T,F,T,F,Y
338,46,T,F,F,F,T,F,F,Y
338,18,F,T,F,F,T,F,F,N
338,44,F,F,T,F,T,F,F,Y
338,6,F,F,F,T,T,F,F,N
341,18,T,F,F,F,F,T,F,N
341,38,F,T,F,F,F,T,F,Y
341,11,F,F,T,F,F,T,F,N
341,10,F,F,F,T,F,T,F,Y
342,13,T,F,F,F,F,T,F,N
342,16,F,T,F,F,F,T,F,Y
342,3,F,F,T,F,F,T,F,N
342,3,F,F,F,T,F,T,F,Y
343,30,T,F,F,F,F,T,F,N
343,70,F,T,F,F,F,T,F,Y
343,1,F,F,T,F,F,T,F,N
343,11,F,F,F,T,F,T,F,Y
345,14,T,F,F,F,T,F,F,Y
345,9,F,T,F,F,T,F,F,N
346,8,T,F,F,F,F,F,T,N
347,15,T,F,F,F,T,F,F,Y
347,13,F,T,F,F,T,F,F,N
349,29,T,F,F,F,F,T,F,N
349,1,F,T,F,F,F,T,F,Y
350,5,F,F,F,T,F,F,T,N
351,2,F,F,F,T,F,F,T,N
352,16,T,F,F,F,F,T,F,N
352,30,F,T,F,F,F,T,F,Y
353,5,T,F,F,F,F,F,T,N
353,1,F,T,F,F,F,F,T,N
353,0,F,F,T,F,F,F,T,N
353,7,F,F,F,T,F,F,T,N
355,33,T,F,F,F,T,F,F,Y
355,14,F,T,F,F,T,F,F,N
355,1,F,F,T,F,T,F,F,Y
355,0,F,F,F,T,T,F,F,N
357,16,T,F,F,F,T,F,F,Y
357,15,F,T,F,F,T,F,F,N
358,46,T,F,F,F,T,F,F,Y
358,11,F,T,F,F,T,F,F,N
359,2,F,F,T,F,F,T,F,N
360,10,T,F,F,F,F,T,F,N
360,102,F,T,F,F,F,T,F,Y
360,14,F,F,F,T,F,T,F,Y
361,3,T,F,F,F,F,T,F,N
369,42,T,F,F,F,T,F,F,Y
369,8,F,T,F,F,T,F,F,N
369,54,F,F,T,F,T,F,F,Y
372,10,T,F,F,F,F,T,F,N
372,2,F,T,F,F,F,T,F,Y
374,45,T,F,F,F,T,F,F,Y
375,48,T,F,F,F,F,T,F,N
375,45,F,F,T,F,F,T,F,N
375,64,F,F,F,T,F,T,F,Y
376,7,T,F,F,F,T,F,F,Y
376,14,F,T,F,F,T,F,F,N
376,1,F,F,T,F,T,F,F,Y
377,9,T,F,F,F,T,F,F,Y
377,35,F,T,F,F,T,F,F,N
377,45,F,F,T,F,T,F,F,Y
377,42,F,F,F,T,T,F,F,N
379,21,T,F,F,F,F,F,T,N
379,4,F,T,F,F,F,F,T,N
379,3,F,F,T,F,F,F,T,N
382,85,T,F,F,F,F,T,F,N
382,98,F,T,F,F,F,T,F,Y
382,31,F,F,T,F,F,T,F,N
382,29,F,F,F,T,F,T,F,Y
384,56,T,F,F,F,T,F,F,Y
384,20,F,T,F,F,T,F,F,N
386,34,T,F,F,F,T,F,F,Y
386,20,F,T,F,F,T,F,F,N
393,8,T,F,F,F,F,T,F,N
393,19,F,T,F,F,F,T,F,Y
399,9,T,F,F,F,F,T,F,N
399,42,F,T,F,F,F,T,F,Y
